64.111.0.0 64.111.81.255 US  
64.111.82.0 64.111.82.255 CA  
64.111.83.0 64.111.85.255 US  
64.111.86.0 64.111.95.255 CA  
64.111.96.0 64.111.255.255 US  
64.112.192.0 64.113.255.255 US  
64.114.0.0 64.114.255.255 CA  
64.115.0.0 64.116.99.255 US  
64.116.100.0 64.116.101.255 CO  
64.116.102.0 64.116.131.127 US  
64.116.131.128 64.116.131.255 VE  
64.116.132.0 64.116.134.191 US  
64.116.134.192 64.116.134.255 VE  
64.116.135.0 64.116.137.255 US  
64.116.138.0 64.116.139.255 VE  
64.116.140.0 64.116.160.255 US  
64.116.161.0 64.116.161.255 PA  
64.116.162.0 64.116.169.255 US  
64.116.170.0 64.116.170.255 PA  
64.116.171.0 64.116.183.255 US  
64.116.184.0 64.116.191.255 PA  
64.116.192.0 64.116.192.255 US  
64.116.193.0 64.116.193.255 CL  
64.116.194.0 64.116.194.255 US  
64.116.195.0 64.116.207.255 CL  
64.116.208.0 64.116.209.255 US  
64.116.210.0 64.116.213.255 CL  
64.116.214.0 64.116.215.255 US  
64.116.216.0 64.116.223.255 CL  
64.116.224.0 64.116.225.255 US  
64.116.226.0 64.116.227.255 AR  
64.116.228.0 64.116.230.255 US  
64.116.231.0 64.116.231.255 AR  
64.116.232.0 64.117.0.255 US  
64.117.1.0 64.117.1.255 PR  
64.117.2.0 64.117.3.255 US  
64.117.4.0 64.117.7.255 PR  
64.117.8.0 64.117.25.255 US  
64.117.26.0 64.117.26.255 PR  
64.117.27.0 64.117.39.255 US  
64.117.40.0 64.117.41.255 PR  
64.117.42.0 64.117.45.255 US  
64.117.46.0 64.117.46.255 MF  
64.117.47.0 64.117.131.255 US  
64.117.132.0 64.117.135.255 CL  
64.117.136.0 64.117.139.255 US  
64.117.140.0 64.117.143.255 CL  
64.117.144.0 64.117.199.255 US  
64.117.200.0 64.117.207.255 PA  
64.117.208.0 64.117.208.72 US  
64.117.208.73 64.117.208.73 BR  
64.117.208.74 64.118.15.255 US  
64.118.16.0 64.118.31.255 CA  
64.118.32.0 64.118.47.255 US  
64.118.52.0 64.118.56.255 US  
64.118.58.0 64.119.95.255 US  
64.119.96.0 64.119.127.255 CA  
64.119.128.0 64.119.191.255 US  
64.119.192.0 64.119.207.255 BB  
64.119.208.0 64.119.223.255 CA  
64.119.224.0 64.120.129.255 US  
64.120.130.0 64.120.130.255 DE  
64.120.131.0 64.128.31.255 US  
64.128.40.0 64.130.207.255 US  
64.130.208.0 64.130.223.255 CA  
64.130.224.0 64.132.104.255 US  
64.132.106.0 64.136.111.255 US  
64.136.112.0 64.136.127.255 CA  
64.136.128.0 64.137.127.255 US  
64.137.128.0 64.137.255.255 CA  
64.138.0.0 64.138.10.255 US  
64.138.11.0 64.138.11.255 SG  
64.138.12.0 64.138.20.255 US  
64.138.21.0 64.138.21.255 IN  
64.138.22.0 64.140.111.255 US  
64.140.112.0 64.140.127.255 CA  
64.140.128.0 64.140.255.255 US  
64.141.0.0 64.141.127.255 CA  
64.141.128.0 64.145.89.255 US  
64.145.90.0 64.145.91.255 JP  
64.145.92.0 64.147.79.255 US  
64.147.80.0 64.147.95.255 BM  
64.147.96.0 64.147.239.255 US  
64.147.240.0 64.147.255.255 CA  
64.148.0.0 64.150.191.255 US  
64.150.192.0 64.150.255.255 BS  
64.151.0.0 64.151.191.255 US  
64.151.192.0 64.151.255.255 CA  
64.152.0.0 64.152.135.255 US  
64.152.136.0 64.152.143.255 PR  
64.152.144.0 64.157.142.255 US  
64.157.143.0 64.157.143.255 CA  
64.157.144.0 64.158.222.255 US  
64.158.223.0 64.158.223.255 NL  
64.158.224.0 64.178.127.255 US  
64.178.128.0 64.178.159.255 CA  
64.178.160.0 64.178.191.255 US  
64.178.192.0 64.178.197.255 PR  
64.178.198.0 64.178.198.255 US  
64.178.199.0 64.178.223.255 PR  
64.178.224.0 64.179.207.255 US  
64.179.208.0 64.179.223.255 CA  
64.179.224.0 64.179.255.255 US  
64.180.0.0 64.180.255.255 CA  
64.181.0.0 64.184.191.255 US  
64.184.192.0 64.184.223.255 CA  
64.184.224.0 64.185.191.255 US  
64.185.192.0 64.185.223.255 PR  
64.185.224.0 64.186.255.255 US  
64.187.0.0 64.187.63.255 CA  
64.187.64.0 64.187.175.255 US  
64.187.176.0 64.187.191.255 CA  
64.187.192.0 64.187.209.255 US  
64.187.210.0 64.187.211.255 CA  
64.187.212.0 64.191.31.255 US  
64.191.32.0 64.191.47.255 CA  
64.191.48.0 64.193.121.255 US  
64.193.122.0 64.193.123.255 MP  
64.193.124.0 64.201.31.255 US  
64.201.32.0 64.201.63.255 CA  
64.201.64.0 64.201.110.255 US  
64.201.111.0 64.201.111.255 CA  
64.201.112.0 64.201.159.255 US  
64.201.160.0 64.201.223.255 CA  
64.201.224.0 64.202.143.255 US  
64.202.144.0 64.202.159.255 CA  
64.202.160.0 64.208.48.255 US  
64.208.50.0 64.208.125.95 US  
64.208.125.96 64.208.125.111 MX  
64.208.125.112 64.208.158.135 US  
64.208.158.136 64.208.158.143 DE  
64.208.158.144 64.208.161.255 US  
64.208.162.0 64.208.162.255 CA  
64.208.163.0 64.208.178.255 US  
64.208.179.0 64.208.179.255 GB  
64.208.180.0 64.208.181.255 US  
64.208.182.0 64.208.182.255 CA  
64.208.183.0 64.208.222.47 US  
64.208.222.48 64.208.222.51 FR  
64.208.222.52 64.209.7.255 US  
64.209.8.0 64.209.15.255 PR  
64.209.16.0 64.209.20.255 US  
64.209.21.0 64.209.21.255 GB  
64.209.22.0 64.209.37.255 US  
64.209.38.0 64.209.38.255 GB  
64.209.39.0 64.209.109.131 US  
64.209.109.132 64.209.109.135 GB  
64.209.109.136 64.209.225.255 US  
64.209.226.0 64.209.226.255 CA  
64.209.227.0 64.209.244.159 US  
64.209.244.160 64.209.244.167 GB  
64.209.244.168 64.209.244.223 US  
64.209.244.224 64.209.245.127 HK  
64.209.245.128 64.209.245.255 SG  
64.209.246.0 64.210.14.193 US  
64.210.14.194 64.210.14.194 JP  
64.210.14.195 64.210.39.255 US  
